2025-04-24 10:30:14.784 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.7ms, Max Diff: 12.2ms, Min Diff: 0.1ms
2025-04-24 10:30:19.807 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.6ms, Max Diff: 12.2ms, Min Diff: 0.1ms
2025-04-24 10:30:24.962 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.9ms, Max Diff: 13.7ms, Min Diff: 0.1ms
2025-04-24 10:30:30.124 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.0ms, Max Diff: 33.7ms, Min Diff: 0.1ms
2025-04-24 10:30:35.141 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.0ms, Max Diff: 33.7ms, Min Diff: 0.2ms
2025-04-24 10:30:40.220 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.4ms, Max Diff: 40.4ms, Min Diff: 0.2ms
2025-04-24 10:30:45.227 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.2ms, Max Diff: 40.4ms, Min Diff: 0.2ms
2025-04-24 10:30:50.240 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.1ms, Max Diff: 40.4ms, Min Diff: 0.2ms
2025-04-24 10:30:55.416 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.9ms, Max Diff: 40.4ms, Min Diff: 0.1ms
2025-04-24 10:31:00.578 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.5ms, Max Diff: 39.3ms, Min Diff: 0.1ms
2025-04-24 10:31:05.593 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.5ms, Max Diff: 39.3ms, Min Diff: 0.1ms
2025-04-24 10:31:10.596 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.5ms, Max Diff: 38.3ms, Min Diff: 0.1ms
2025-04-24 10:31:15.630 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.5ms, Max Diff: 38.3ms, Min Diff: 0.1ms
2025-04-24 10:31:20.684 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.4ms, Max Diff: 38.3ms, Min Diff: 0.1ms
2025-04-24 10:31:25.888 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.3ms, Max Diff: 38.3ms, Min Diff: 0.1ms
2025-04-24 10:31:30.890 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.6ms, Max Diff: 39.4ms, Min Diff: 0.1ms
2025-04-24 10:31:36.055 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.2ms, Max Diff: 39.4ms, Min Diff: 0.3ms
2025-04-24 10:31:41.136 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.8ms, Max Diff: 41.1ms, Min Diff: 0.3ms
2025-04-24 10:31:46.315 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.0ms, Max Diff: 41.1ms, Min Diff: 0.3ms
2025-04-24 10:31:51.471 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.3ms, Max Diff: 41.1ms, Min Diff: 0.8ms
2025-04-24 10:31:56.535 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.8ms, Max Diff: 41.1ms, Min Diff: 0.4ms
2025-04-24 10:32:01.632 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.5ms, Max Diff: 41.1ms, Min Diff: 0.4ms
2025-04-24 10:32:06.643 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.3ms, Max Diff: 18.0ms, Min Diff: 0.1ms
2025-04-24 10:32:11.800 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.7ms, Max Diff: 38.5ms, Min Diff: 0.1ms
2025-04-24 10:32:16.992 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.0ms, Max Diff: 38.5ms, Min Diff: 0.1ms
2025-04-24 10:32:22.027 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.2ms, Max Diff: 38.5ms, Min Diff: 0.1ms
2025-04-24 10:32:27.070 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.2ms, Max Diff: 38.5ms, Min Diff: 0.1ms
2025-04-24 10:32:32.083 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.9ms, Max Diff: 25.0ms, Min Diff: 0.1ms
2025-04-24 10:32:37.146 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.6ms, Max Diff: 11.3ms, Min Diff: 0.1ms
2025-04-24 10:32:42.275 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.6ms, Max Diff: 11.3ms, Min Diff: 0.1ms
2025-04-24 10:32:47.481 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.8ms, Max Diff: 11.3ms, Min Diff: 0.1ms
2025-04-24 10:32:52.689 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.4ms, Max Diff: 9.7ms, Min Diff: 0.1ms
2025-04-24 10:32:57.709 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.6ms, Max Diff: 9.7ms, Min Diff: 0.1ms
2025-04-24 10:33:02.829 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.5ms, Max Diff: 9.7ms, Min Diff: 0.1ms
2025-04-24 10:33:07.998 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.4ms, Max Diff: 9.7ms, Min Diff: 0.1ms
2025-04-24 10:33:13.190 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.9ms, Max Diff: 44.5ms, Min Diff: 0.2ms
2025-04-24 10:33:18.262 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.7ms, Max Diff: 44.5ms, Min Diff: 0.2ms
2025-04-24 10:33:23.345 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.9ms, Max Diff: 44.5ms, Min Diff: 0.3ms
2025-04-24 10:33:28.471 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.8ms, Max Diff: 44.5ms, Min Diff: 0.0ms
