2025-04-24 11:03:50.532 - INFO - sensor [/livox/imu] - IMU stats: rate=233.94Hz, interval=5.0ms, dropped=9436
2025-04-24 11:03:50.539 - INFO - sensor [/livox/imu] - IMU stats: rate=233.85Hz, interval=5.0ms, dropped=9436
2025-04-24 11:03:50.542 - INFO - sensor [/livox/imu] - IMU stats: rate=233.82Hz, interval=5.0ms, dropped=9436
2025-04-24 11:03:50.548 - INFO - sensor [/livox/imu] - IMU stats: rate=233.84Hz, interval=5.0ms, dropped=9436
2025-04-24 11:03:50.552 - INFO - sensor [/livox/imu] - IMU stats: rate=233.83Hz, interval=5.0ms, dropped=9436
2025-04-24 11:03:50.558 - INFO - sensor [/livox/imu] - IMU stats: rate=233.92Hz, interval=5.0ms, dropped=9436
2025-04-24 11:03:50.562 - INFO - sensor [/livox/imu] - IMU stats: rate=233.93Hz, interval=5.0ms, dropped=9436
2025-04-24 11:03:50.569 - INFO - sensor [/livox/imu] - IMU stats: rate=233.84Hz, interval=5.0ms, dropped=9436
2025-04-24 11:03:50.591 - INFO - sensor [/livox/imu] - IMU stats: rate=232.90Hz, interval=5.2ms, dropped=9437
2025-04-24 11:03:50.597 - INFO - sensor [/livox/imu] - IMU stats: rate=232.02Hz, interval=5.2ms, dropped=9437
2025-04-24 11:03:50.599 - INFO - sensor [/livox/imu] - IMU stats: rate=231.15Hz, interval=5.2ms, dropped=9437
2025-04-24 11:03:50.610 - INFO - sensor [/livox/imu] - IMU stats: rate=230.33Hz, interval=5.2ms, dropped=9437
2025-04-24 11:03:50.614 - INFO - sensor [/livox/imu] - IMU stats: rate=230.07Hz, interval=5.2ms, dropped=9437
2025-04-24 11:03:50.616 - INFO - sensor [/livox/imu] - IMU stats: rate=230.03Hz, interval=5.2ms, dropped=9437
2025-04-24 11:03:50.618 - INFO - sensor [/livox/imu] - IMU stats: rate=230.40Hz, interval=5.1ms, dropped=9437
